step,loss,perplexity,learning_rate
101,7.301024675369263,1481.817531852534,0.0001515
102,7.3475542068481445,1552.3950437433195,0.000153
103,7.316656589508057,1505.163169393873,0.0001545
104,7.348177909851074,1553.3635792016753,0.000156
105,7.175487726926804,1306.9974033890535,0.0001575
106,7.406869411468506,1647.2613688226782,0.00015899999999999996
107,7.539965361356735,1881.7648422526938,0.00016049999999999997
108,7.365268379449844,1580.1394465707829,0.00016199999999999998
109,7.291491210460663,1467.757801869884,0.0001635
110,7.349160730838776,1554.891008000436,0.00016499999999999997
111,7.235025405883789,1387.176140167537,0.00016649999999999998
112,7.282312750816345,1454.3476823815756,0.000168
113,7.210903763771057,1354.1155150718675,0.0001695
114,7.157720506191254,1283.9807683167169,0.00017099999999999998
115,7.4389103055000305,1700.8957541846748,0.0001725
116,7.175473213195801,1306.9784341179773,0.000174
117,7.042309403419495,1144.0265771215475,0.00017549999999999998
118,7.181475043296814,1314.8462837556986,0.00017699999999999997
119,7.123399019241333,1240.6603029404448,0.00017849999999999997
120,7.176614999771118,1308.471576811209,0.00017999999999999998
121,7.125102281570435,1242.7752735612355,0.0001815
122,6.9301557540893555,1022.6532496444596,0.00018299999999999998
123,7.145283937454224,1268.1113384033636,0.00018449999999999999
124,7.408708691596985,1650.2939319363838,0.000186
125,7.1659873723983765,1294.6392610064242,0.0001875
126,7.127364635467529,1245.590053858616,0.00018899999999999996
127,6.67560213804245,792.8247000899094,0.00019049999999999997
128,7.167648136615753,1296.791137951032,0.00019199999999999998
129,7.219169318675995,1365.3544150957641,0.0001935
130,7.460559248924255,1738.1198272365025,0.000195
131,7.037753880023956,1138.826790152453,0.00019649999999999998
132,7.034766972064972,1135.4302943843495,0.000198
133,7.112344861030579,1227.0213700103245,0.0001995
134,7.332005798816681,1528.4444514764252,0.000201
135,7.067413687705994,1173.1100783733482,0.00020249999999999996
136,7.27164489030838,1438.915365431819,0.00020399999999999997
137,7.150439560413361,1274.666124818956,0.00020549999999999998
138,7.002398729324341,1099.2668420278362,0.000207
139,7.050617098808289,1153.570390095455,0.00020849999999999997
140,7.13459849357605,1254.6331443519607,0.00020999999999999998
141,7.211967587471008,1355.5568217614507,0.0002115
142,7.133931994438171,1253.7972110482544,0.000213
143,6.882397711277008,974.9612350428289,0.00021449999999999996
144,7.033971548080444,1134.5275049932038,0.00021599999999999996
145,6.973874628543854,1068.3542171648844,0.00021749999999999997
146,7.003714814782143,1100.7145235602204,0.00021899999999999998
147,7.218818634748459,1364.875691192295,0.00022049999999999997
148,6.959552571177483,1053.162236669505,0.00022199999999999998
149,7.369180381298065,1586.333061824577,0.00022349999999999998
150,6.9502722173929214,1043.433730333144,0.000225
151,6.76073482632637,863.2763209423352,0.00022649999999999998
152,6.878537073731422,971.2045194180298,0.00022799999999999999
153,6.847149610519409,941.1943092078334,0.0002295
154,7.029100656509399,1129.0147813709048,0.00023099999999999998
155,6.9731704741716385,1067.6021956724771,0.00023249999999999996
156,6.94176921248436,1034.5990222154642,0.00023399999999999997
157,6.89435151219368,986.6856636793136,0.00023549999999999998
158,6.8628092259168625,956.0490563579813,0.000237
159,6.814814031124115,911.2470364387054,0.00023849999999999997
160,6.866789922118187,959.862382014907,0.00023999999999999998
161,7.006585076451302,1103.8784006713736,0.0002415
162,6.809761822223663,906.6548361960864,0.000243
163,6.942175090312958,1035.0190282498734,0.0002445
164,6.833164259791374,928.1229932105821,0.00024599999999999996
165,6.804698705673218,902.0759386171804,0.0002475
166,6.7745430916547775,875.2793492175208,0.000249
167,6.75573505461216,858.9709084200003,0.0002505
168,7.043384552001953,1145.2572371268666,0.00025199999999999995
169,6.780512735247612,880.5200820666528,0.0002535
